Educación,¿Cuándo comenzó tu proyecto?,¿Por qué decidiste emprender?,¿Qué desafíos tuviste a la hora de empezar/decidir a emprender?,"¿Accediste a financiamiento? famila, amigos, angel investors, venture capital...",¿Cuál fue la fuente de ese financiamiento?,Etapa del proyecto,¿Con cuantos potenciales inversores contactaste? ,Si participaste de una incubadora/aceleradora. ¿Cómo impactó ese proceso en tu negocio?,¿Por qué no accediste a fondos?,¿Qué desafíos tenés cómo founder hoy en día?,¿Algún desafío único para crear productos para el mercado Argentino?,¿Dónde necesitas más apoyo?,¿Qué políticas o regulaciones te perjudican?,¿Qué políticas o regulaciones te benefician?,Tipo de empresa,Cantidad de gente en el equipo,¿Qué porcentaje de ese equipo está en Argentina?,Burn-rate mensual de tu empresa (opcional),Revenue mensual de tu empresa (opcional),Lugar trabajo,Estructura legal,@,Repetido,Not crypto,included in Landscape,Industria/vertical,Edad,Lugar de nacimiento - Provincia,Lugar de nacimiento - Pais,Lugar de residencia - Provincia,Lugar de residencia - Pais
Estudios de especialización,7/6/2021,Oportunidad, ,No,,,,,No los necesitaba,"Desarrollo de producto, Go to market, Conexiones",Regulaciones,"Desarrollo de producto, Go to market, Conexiones", , ,Ambas,20,Entre el 51% y 75%,,,Remoto,Delaware (LLC or C-Corp),,,,,Dev shop,45,,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),10/30/2022,Desafio,Falta de financiamiento,Si,Grants,Pre-seed,1 -10,"Validé la idea, Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Inversión (equity), Financiamiento (deuda, working capital), Go to market","Ninguno en nuestra area, el playground es el mundo","Inversión (equity), Financiamiento (deuda, working capital)","Cepo cambiario, restriccion a las importaciones",Ninguna,Servicio,6,Entre el 26% y 50%,,,Remoto,Delaware (LLC or C-Corp),,,,,Social,25,Buenos Aires,Argentina,,Poland
Universitario completo (Institución privada),8/1/2023,Oportunidad,Falta de financiamiento,Si,"Fondos propios, Friends & Family",Pre-seed,1 -10,No participé,,"Go to market, Velocidad de ejecución",Es un desafío desarrollar en el mercado Argentino dada a la escasa liquidez de capital o deals que ocurren en el ecosistema crypto argentino. Mas allá de la gran adopción que hay en el país. ,"Inversión (equity), Financiamiento (deuda, working capital), Go to market, Velocidad de ejecución",No tenemos jurisdicción en Argentina. Falta de claridad regulatoria y altos impuestos.,Poder celebrar contratos en cualquier tipo de activo. ,Producto,5,100% en Argentina,,,Híbrido,Delaware (LLC or C-Corp),,,,,NFTs,26,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución pública),6/1/2023,Desafio,"Falta de financiamiento, Falta de claridad de regulación",Si,Inversión Ángel,Seed,21 a 50,No participé,,"Inversión (equity), Sistema regulatorio",-,Inversión (equity),Tiempo de respuesta para sacar licencias ,Que ya hay cierta definición en cuanto a activos digitales,Producto,4,100% en Argentina,7500 usd,1000 usd,Remoto,"Delaware (LLC or C-Corp), BVI, Cayman",,,,,Payments,30,,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución privada),12/31/2023,Divertirme y generar impacto,"Impacto emocional, Falta de claridad de regulación",Si,Inversión Ángel,Pre-seed,1 -10,"Validé la idea, Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Inversión (equity), Equipo, Desarrollo de producto, Ingeniería, Go to market, Velocidad de ejecución","Los constantes cambios de regulaciones, y lo cerrada que esta nuestra region a las comodidades de los mercados tradicionales","Financiamiento (deuda, working capital), Go to market",La falta de claridad y lo engorroso que es al momento de contratar de gente acá. Lo difícil y la cantidad de burocracia para armar una empresa o sociedad.,La falta de regulaciones hace que sea atractivo y deja un espacio en gris donde blockchain permite cubrir esas necesidades,Producto,6,100% en Argentina,3K,0,Híbrido,BVI,,,not,,RWA,21,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,5/31/2023,Vimos un potencial enorme en el país ,"Falta de conocimiento/skills, Falta de financiamiento, Falta de claridad de regulación, Riesgo país",No,,,,,Estamos en negociación con cámaras de energía ,"Infraestructura corporativa, Equipo, Desarrollo de producto, Sistema regulatorio, Proyecto muy sensible a temas políticos ",Tenemos un proyecto que se puede aplicar en cualquier provincia argentina y a cualquier fuente de energía. Genera además potencial exportador,"Financiamiento (deuda, working capital), Desarrollo de producto, Velocidad de ejecución",Regulación energética - camessa,Agenda climática 2030,Ambas,Actual 6,100% en Argentina,,,Híbrido,A desarrollar según ley bases,,,not,,,49,Rosario ,Argentina,Rosario ,Argentina
Universitario completo (Institución privada),9/1/2023,Oportunidad,"Falta de clientes, Falta de claridad de regulación",No,,,,,No los necesitaba,"Inversión (equity), Equipo, Go to market, Conexiones, Sistema regulatorio",No,"Inversión (equity), Equipo, Go to market, Conexiones, Sistema regulatorio","En crypto es muy volátil, no solo el precio, sino las políticas y regulaciones",Ninguna ,Servicio,1,100% en Argentina,,,Híbrido,Argentina,,,,,Education,22,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),3/10/2019,Desafio,"Falta de conocimiento/skills, Falta de clientes, infinitos",Si,"Friends & Family, YC",Seed,21 a 50,"Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Financiamiento (deuda, working capital), Equipo, Desarrollo de producto, Ingeniería, Conexiones, Sistema regulatorio, Velocidad de ejecución",cambios de reglas constantes,"Financiamiento (deuda, working capital), Sistema regulatorio",cepo,no se,Servicio,15,100% en Argentina,,,Híbrido,"Argentina, Delaware (LLC or C-Corp)",,,,,CeFi,36,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución pública),1/3/2022,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento, Falta de claridad de regulación, Riesgo país, Coyuntura Cripto y Tech en 2022",Si,"Fondos propios, Fondos de Venture Capital, Grants",Pre-seed,21 a 50,No participé,,"Equipo, Velocidad de ejecución, Vender",Regulación. Siempre en contra del emprendedor. ,"Financiamiento (deuda, working capital), Infraestructura corporativa, Equipo, Conexiones","Todo. Muy difícil darte de alta, muy difícil cobrar desde el exterior, muy difícil pagar hacia el exterior, muchos riesgos al contratar personal.","Muy buena calidad de desarrolladores de software salen de diversas universidades publicas, privadas y algunos terciarios también. ",Servicio,9,Entre el 51% y 75%,,,Híbrido,-,,,,,Dev shop,40,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,6/21/2018,Visión ,"Falta de clientes, Falta de financiamiento",Si,"Inversión Ángel, Grants",Seed,21 a 50,No participé,,Inversión (equity),Falta de inversiones por parte de los clientes,Inversión (equity),Ninguna,Self custodial,"Servicio, Producto, Ambas",10,Entre el 76% y el 99%,,,Híbrido,Delaware (LLC or C-Corp),,,,,Dev shop,41,,Argentina,,Argentina
Universitario incompleto (Institución pública),1/27/1982,Todavía quiero cambiar el mundo,Falta de financiamiento,Si,"Fondos propios, Friends & Family, Tradicional (Banca)",Pre-seed,+ 100,No participé,,"Financiamiento (deuda, working capital), Conexiones, Velocidad de ejecución",Inestabilidad económica,"Inversión (equity), Financiamiento (deuda, working capital), Conexiones, Velocidad de ejecución",Ninguna,Ninguna,Ambas,1,100% en Argentina,,,Presencial,No hay,,,,,,42,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),1/2/2022,No conseguia trabajo,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento",Si,"Fondos propios, Inversión Ángel, Fondos de Venture Capital, Grants",Seed,21 a 50,"Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Financiamiento (deuda, working capital), Infraestructura corporativa, Equipo, Conexiones",No.,"Inversión (equity), Financiamiento (deuda, working capital), Equipo, Conexiones",No me perjudican las regulaciones nacionales.,No me benefician las regulaciones nacionales.,Servicio,+12,Entre el 76% y el 99%,34.000 USD,50.000 USD,Híbrido,"Delaware (LLC or C-Corp), BVI",,repetido,,,,25,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución pública),3/31/2023,Oportunidad,"Impacto emocional, Falta de socios, Falta de claridad de regulación",No,,,,,No encontré interesados en el proyecto,"Financiamiento (deuda, working capital), Infraestructura corporativa, Go to market, Velocidad de ejecución",Regulación clara,"Financiamiento (deuda, working capital), Go to market",No hay open banking. No se puede hacer transferencias internacionales. Bancos están desincentivados a trabajar con crypto. Es necesario tener licencias para operar (ej. PSP),"Las únicas que me benefician son de otros países. Ej. En El Salvador puedo dar de alta una empresa, es crypto-friendly y se pagan bajos impuestos.",Servicio,9,100% en Argentina,,,Híbrido,LLC en New Mexico ,,,,,CeFi,35,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,3/31/2023,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento",No,,,,,"No sabía cómo hacerlo, No tenía los contactos para hacerlo, No encontré interesados en el proyecto","Inversión (equity), Financiamiento (deuda, working capital), Go to market, Conexiones, Velocidad de ejecución",No,"Financiamiento (deuda, working capital), Desarrollo de producto, Go to market",No aplica,No aplica,Ambas,2,100% en Argentina,5K,No aplica,Remoto,No hay,,,,,Marketing,43,,United States,Buenos Aires,Argentina
Universitario completo (Institución privada),6/6/2007,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento",No,,,,,"No los necesitaba, No tenía los contactos para hacerlo","Inversión (equity), Go to market, Conexiones",Na,"Desarrollo de producto, Go to market, Conexiones, Velocidad de ejecución",No conozco ,No conozco ,Servicio,40,Menos del 25%,100,,Presencial,Uruguay,,,,,Dev shop,43,,Uruguay,,Uruguay
Universitario incompleto (Institución privada),9/6/2022,Desafio,Falta de conocimiento/skills,Si,Grants,Pre-seed,21 a 50,Conocí a otros emprendedores / networking,,Equipo,Nuestro producto es Defi,Equipo,Falta de claridad para establecer la empresa,Claras reglas de juego para dApps,Producto,5,Entre el 51% y 75%,"$5,000","$2,500",Híbrido,No hay,,,,,DeFi,19,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),8/8/2022,Oportunidad,"Impacto emocional, Falta de financiamiento",No,,,,,No los necesitaba,"Financiamiento (deuda, working capital), Infraestructura corporativa, Conexiones, Velocidad de ejecución","Tipo de cambio, poder adquisitivo de la gente","Infraestructura corporativa, Conexiones, Velocidad de ejecución","Presion impositiva, tramites lentos",Innovaccion y pro-tecnologia,Servicio,40,Entre el 76% y el 99%,,,Remoto,Argentina,,,,,Education,27,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),6/17/2021,Quería cambiar el mundo,Falta de claridad de regulación,Si,"Inversión Ángel, Fondos de Venture Capital, Grants",Seed,+ 100,"Logré obtener inversión / acceso a inversion, Conocí a otros emprendedores / networking",,"Conexiones, Sistema regulatorio","Facilidades bancarias internacionales (SWIFT), Marco regulatorio cambiante, corrupción burocratica","Infraestructura corporativa, Go to market, Conexiones, Sistema regulatorio",Todas,ninguna,"Servicio, Producto, Ambas",10,Entre el 76% y el 99%,,,Remoto,"Delaware (LLC or C-Corp), VASP",,,,,Infra,33,Buenos Aires,Argentina,,
Estudios de especialización,3/15/2023,Desafio,"Falta de clientes, Riesgo país",Si,Inversión Ángel,Seed,1 -10,No participé,,"Inversión (equity), Infraestructura corporativa, Desarrollo de producto, Conexiones",Captar interes en tematicas poco analizadas,"Inversión (equity), Go to market, Conexiones",Ley de sociedades y leyes impositivas,Ley de software,"Servicio, Producto",7,Entre el 76% y el 99%,,,Remoto,Delaware (LLC or C-Corp),,,not,,,33,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,4/1/0021,Oportunidad,"Falta de conocimiento/skills, Falta de financiamiento, Falta de claridad de regulación",No,,,,,"No tenía los contactos para hacerlo, Aun en búsqueda ","Inversión (equity), Desarrollo de producto, Ingeniería, Go to market, Conexiones",RWA,"Conexiones, Sistema regulatorio","No soy argentino, asi que no me manejo. ",Idem,Servicio,5,Menos del 25%,,,Híbrido,Chile Spa,,,,,?,28,,Chile,,Chile
Universitario completo (Institución privada),3/28/2023,"No me gustaban los otros tools de analítica cripto, o no abarcaban todo en el mismo lugar","Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de socios, Falta de financiamiento",No,,,,,"Hice todo sólo, todo gratis","Go to market, Conexiones, Velocidad de ejecución, Me faltan usuarios, poca gente conoce el producto",El producto es para el mercado internacional,"Go to market, Conexiones, Promoción para atraer más usuarios, advisors con experiencia y conexiones",Falta de acceso a datos abiertos,Acceso gratuitio a datos tanto onchain como offchain,Servicio,"Soy solo builder, pero tengo un advisor desde hace poquito",Entre el 76% y el 99%,,,Remoto,No hay,,,,,?,34,,Rusia,Buenos Aires,Argentina
Master,3/1/2022,Quería cambiar el mundo,Falta de financiamiento,Si,"Fondos propios, Inversión Ángel",Seed,+ 100,"Validé la idea, Obtuve valiosas mentorias, Logré obtener inversión / acceso a inversion, Conocí a otros emprendedores / networking",,"Financiamiento (deuda, working capital), Go to market",No,"Inversión (equity), Financiamiento (deuda, working capital), Go to market",Ninguna,El apoyo con pagos crypto,Servicio,5,Entre el 76% y el 99%,5000,,Remoto,Delaware (LLC or C-Corp),,,,,NFTs,43,Buenos Aires,Argentina,,Argentina
Universitario incompleto (Institución privada),4/1/2022,Quiero que seamos una especie multiplanetaria y cambiar el ritmo de la evolución,"Falta de financiamiento, Riesgo país",Si,"Fondos propios, Friends & Family",Pre-seed,1 -10,No participé,,"Inversión (equity), Equipo, Desarrollo de producto, Ingeniería, Velocidad de ejecución","Quizá el lugar por un tema de las oportunidades de meetings con inversores, pero después hay varias ventajas","Inversión (equity), Equipo, Conexiones",Importación de materiales costosos,Libre mercado,Ambas,4,100% en Argentina,,,Híbrido,No hay,,,not,,,27,Formosa,Argentina,Buenos Aires,Argentina
Secundario completo,12/14/2023,Desafio,Falta de financiamiento,Si,"Fondos propios, Friends & Family",Seed,1 -10,No participé,,Conexiones,Por ahora no ofrezco productos,Inversión (equity),Blanqueo de capital,Mi proyecto es sobre inversion en trading. Por lo tanto no hay mucho que pueda beneficiar en cuestion de política,Servicio,2,Entre el 26% y 50%,10 años,"10,000 usd",Remoto,No hay,,,,,,34,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),1/8/2024,Quería cambiar el mundo,"Falta de financiamiento, La sede esta en otro país",Si,"Fondos propios, Friends & Family, Fondos de Venture Capital",Pre-seed,1 -10,No participé,,"Inversión (equity), Go to market","La sede esta en otro país. Trabajo en Argentina también (artistas/marcas/organizaciones), sin embargo a veces se complica, pero al ser cripto y digital todo se agiliza.","Inversión (equity), Go to market","Trabajo fuera del país, intenté realizar el proyecto en el país, pero las trabas eran tantas aue desistí. Como es un proyecto global, y de cuestiones de biodiversidad, chau fronteras.",Ninguna,Servicio,3,Entre el 76% y el 99%,,,Remoto,Costa Rica,,,,,,35,,Argentina,,Costa Rica
Universitario completo (Institución privada),5/29/2024,Quería cambiar el mundo,Falta de socios,Si,"Fondos propios, Friends & Family, Grants",Pre-seed,1 -10,Estoy por participar,,"Desarrollo de producto, Go to market",todavia no,"Conexiones, Velocidad de ejecución, Feedback, uso del producto",anti-crypto,pro-crypto,Producto,3,Menos del 25%,,,Híbrido,Delaware (LLC or C-Corp),,,not,,,22,Buenos Aires,Argentina,,United States
Universitario completo (Institución privada),5/1/2022,Desafio,"Falta de conocimiento/skills, Impacto emocional",Si,"Inversión Ángel, Fondos de Venture Capital",Seed,+ 100,No participé,,Velocidad de ejecución,Fraude en pagos ,Velocidad de ejecución,Reventa en la ciudad,Regulation de precios de entradas,Producto,15,100% en Argentina,,,Híbrido,"Argentina, Delaware (LLC or C-Corp)",,repetido,,,,28,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),1/22/2021,Oportunidad,"Falta de clientes, Falta de socios, Falta de financiamiento, Falta de claridad de regulación, Riesgo país",Si,"Fondos propios, Friends & Family, Inversión Ángel, Fondos de Venture Capital, Grants",Seed,+ 100,"Logré obtener inversión / acceso a inversion, Conocí a otros emprendedores / networking, Logré acceder a más y mejor talento para mi empresa",,"Equipo, Desarrollo de producto, Go to market, Sistema regulatorio, Velocidad de ejecución",Comprender las peculiaridades de la adopción crypto en Argentina ,"Go to market, Conexiones",en especifico todas las regulaciones entorno al uso de cuentas juridicas para realizar cambios y los impuestos asociados ,la ausencia (momentanea) de regulaciones estrictas respecto al comercio de activos digitales más allá de normativas asociadas a AML y Financiamiento al terrorismo ,Ambas,23,Menos del 25%,"75,000 USD","30,000 USD",Híbrido,"Argentina, Delaware (LLC or C-Corp), Cayman, El Salvador",,,,,CeFi,30,,Venezuela,,Venezuela
Universitario completo (Institución pública),8/1/2023,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento",Si,"Fondos propios, Friends & Family, Inversión Ángel, Tradicional (Banca)",Seed,1 -10,No participé,,"Inversión (equity), Financiamiento (deuda, working capital), Sistema regulatorio",Sistema regulatorio actual,"Inversión (equity), Financiamiento (deuda, working capital), Sistema regulatorio",La falta de regulaciones que permitan la tokenización de activos.,"Las que se puedan tomar como ejemplo de otros países, ej El Salvador, que ya poseen un marco regulatorio.",Ambas,7,100% en Argentina,-,-,Remoto,Evaluando El Salvador,,,,,RWA,46,,Argentina,Buenos Aires,Argentina
Master,1/8/2018,Quería cambiar el mundo,"Falta de financiamiento, Falta de claridad de regulación",Si,"Fondos propios, Friends & Family, Inversión Ángel",Seed,+ 100,No participé,,"Financiamiento (deuda, working capital), Desarrollo de producto, Sistema regulatorio","Mas que un desafio unico, para mi es una oportunidad unica poder usar este protocolo que mantiene el valor del dinero en el tiempo en un pais como Argentina donde sufren de hiperinflacion, esto es precisamente para lo que el projecto se creo, y creo que es donde haria mayor impacto.","Financiamiento (deuda, working capital), Equipo, Conexiones, Sistema regulatorio","En general el marco regulatorio global necesita mas claridad para operar sin problemas. Creo que con Crecimiento esto se hace mas favorable ya que la idea es que este apoye a la industria a mejorar la situation del pais. Temas como especificamente regulacion en AML y KYC serian criticos para la adopcion masiva de un protocolo como el nuestro. A su vez, todavia para mi no es tan claro como sera para un protocolo que opera autonomamente, es decir, en DUCATA no hay nadie modificando el codigo, es verdaderamente decentralizado. Creo que al ser tan innovador va a traer consigo nuevas formas de regulacion, por eso es ideal contar con un gobierno que apoye y cree politicas que benefician a la vez protegen al los participantes de la red.","Un poco repitiendo el punto de mas arriba, creo que mientras haya una sinergia positiva entre las regulaciones del gobierno y los proyectos con sus innovaciones, todos podrian salir beneficiados de esto. Un protocolo que propone una forma de dinero que mantiene su valor en el tiempo y que responde a movimientos del mercado para determinar su valor es algo que tiene un alto impacto de beneficio para quien lo use. En nuestros planes esta ofrecer nuestro producto a bancos, para que personas puedan guardar su dinero en DUCA currency para mantener su valor en el largo plazo. Creo que eso tambien requerira colaboracion por parte de regulaciones y sera muy beneficioso para el publico. ",Producto,8,Menos del 25%,,,Remoto,BVI,,,,,DeFi,30,,Italia,,Netherlands
Universitario completo (Institución pública),8/1/2023,Oportunidad,Falta de clientes,No,,,,,"No sabía cómo hacerlo, No tenía los contactos para hacerlo","Financiamiento (deuda, working capital), Conexiones",Búsqueda de Clientes nuevos,"Financiamiento (deuda, working capital), Conexiones",Ninguna,No hay políticas ,Servicio,7,100% en Argentina,200000,4000000,Híbrido,Argentina,,,,,,25,,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),3/8/2021,Emprendo desde los 17 años,"Falta de conocimiento/skills, Falta de socios, Falta de financiamiento, Falta de claridad de regulación",No,,,,,La estrategia es hacer bootstrapping lo mas posible antes de ir con inversores ,"Financiamiento (deuda, working capital), Go to market, Velocidad de ejecución",Sistema regulatorio no federal,"Inversión (equity), Go to market, Conexiones",las que son restrictivas a la innovacion y fiscalmente agobiantes. ,las que favorecen el desarrollo de nuevas empresas y ayudan a que inicien .,Ambas,40,Entre el 26% y 50%,,,Híbrido,"Argentina, Delaware (LLC or C-Corp), España",,,,,,38,Mendoza,Argentina,Neuquen ,Argentina
Universitario completo (Institución pública),1/1/2022,Desafio,"Falta de clientes, Falta de financiamiento, Riesgo país",Si,"Fondos propios, Inversión Ángel",Pre-seed,1 -10,Obtuve valiosas mentorias,,"Inversión (equity), Financiamiento (deuda, working capital)",Los desafíos con los que nos enfrentamos no son por el mercado Argentino. Hoy no  tenemos impacto solo por ser Argentina. ,"Financiamiento (deuda, working capital)","En Argentina, las regulaciones cambiarias que restringen la compra de divisas y la dificultad para acceder a financiamiento internacional, junto con altas tasas de impuestos y costos laborales, pueden afectar negativamente a las empresas de videojuegos.","Actualmente, no hay regulaciones claras que beneficien significativamente a las empresas de videojuegos en Argentina. Sería beneficioso contar con fondos no reembolsables para equipamiento y acceso a créditos a tasas bajas o subsidiadas, pero estos son escasos.",Ambas,6,Entre el 51% y 75%,,,Remoto,Argentina,,,,,,35,Mendoza,Argentina,Mendoza,Argentina
Universitario completo (Institución pública),6/18/2021,Oportunidad,"Falta de claridad de regulación, Falta de claridad en cómo junta guita, armar el legal setup, etc",Si,"Inversión Ángel, Fondos de Venture Capital, Grants",Seed,21 a 50,No participé,,"Infraestructura corporativa, Desarrollo de producto, Sistema regulatorio","Ni idea, estaba fuera de arg already ","Infraestructura corporativa, Desarrollo de producto, Go to market, Sistema regulatorio","La falta de, o sea, no saber si casa cosa q haces es legal o no ",Ni idea,Producto,6,Menos del 25%,100k,0,Remoto,BVI,,,,,,39,Buenos Aires,Argentina,,Portugal
Master,1/1/2024,Desafio,"Falta de conocimiento/skills, Falta de socios, Falta de financiamiento, Riesgo país",No,,,,,"No encontré interesados en el proyecto, entiendo que debo pulir mi proyecto","Inversión (equity), Equipo, Desarrollo de producto",el mercado argentino es dificil pero cuenta con buenos insumos humanos,"Inversión (equity), Equipo, Desarrollo de producto",incertidumbre falta de regulacion en particular de securities,ninguna,Ambas,3,100% en Argentina,,,Presencial,"Argentina, Delaware (LLC or C-Corp)",,,,,,49,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución pública),1/1/2024,Quería cambiar el mundo,Falta de socios,No,,,,,No tenía los contactos para hacerlo,"Inversión (equity), Conexiones, Asociar el CTO adecuado.",Cambiar el paradigma de producción de la industria cinematográfica y audiovisual.,"Inversión (equity), Financiamiento (deuda, working capital), Equipo","En un futuro lejano, probablemente, los sindicatos (sadaic, sica, sadem, aaa, etc...).","Por el momento, la ausencia de regulaciones en áreas cómo la AI, web 3.0, blockchain.",Ambas,2,100% en Argentina,,,Remoto,"No hay, Evaluamos una estructura tipo Cayman sandwich (probablemente con Argentina) al levantar el seed Capital.",,,,,,46,,Brazil,Buenos Aires,Argentina
Universitario completo (Institución privada),1/1/2024,Oportunidad,"Falta de conocimiento/skills, Falta de claridad de regulación",Si,"Friends & Family, Inversión Ángel",Pre-seed,1 -10,No participé,,"Go to market, Sistema regulatorio",Marco Regulatorio,"Inversión (equity), Sistema regulatorio",Fallta de regulacion en Argentina,N/A,Producto,10,Entre el 76% y el 99%,,,Híbrido,Cayman,,,,,,48,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),11/1/2023,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de claridad de regulación",No,,,,,No los necesitaba,"Desarrollo de producto, Go to market, Conexiones, Velocidad de ejecución",Principalmente la centralización del ecosistema en Buenos Aires y la falta de financiamiento.,"Desarrollo de producto, Go to market, Conexiones, Velocidad de ejecución",A priori ninguna.,A priori ninguna.,Producto,3,100% en Argentina,,,Remoto,No hay,,,,,,28,Chaco,Argentina,Chaco,Argentina